Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Club Name
E. Hazard,Eden Hazard,84,35000000,LW,LW,Belgium,31,Real Madrid CF
I. Perišić,Ivan Perišić,84,26500000,"LM,LWB",LM,Croatia,33,Tottenham Hotspur
E. Džeko,Edin Džeko,84,14500000,ST,ST,Bosnia and Herzegovina,36,Inter
G. Chiellini,Giorgio Chiellini,84,7500000,CB,CB,Italy,37,Los Angeles FC
R. De Paul,Rodrigo Javier De Paul,84,42000000,CM,CM,Argentina,28,Atlético de Madrid
J. Bellingham,Jude Bellingham,84,81500000,"CM,LM",CM,England,19,Borussia Dortmund
F. Chiesa,Federico Chiesa,84,66500000,LW,RM,Italy,24,Juventus
M. Diaby,Moussa Diaby,84,61500000,"RM,LM,LW",RM,France,22,Bayer 04 Leverkusen
J. Tartt,Jamie Tartt,84,85500000,ST,CAM,England,24,AFC Richmond
Rafael Leão,Rafael da Conceição Leão,84,66500000,"LW,LM",LW,Portugal,23,AC Milan
J. Koundé,Jules Koundé,84,57500000,"CB,RB",CB,France,23,FC Barcelona
Y. Tielemans,Youri Tielemans,84,52500000,"CM,CDM",CM,Belgium,25,Leicester City
S. Tonali,Sandro Tonali,84,62500000,"CDM,CM",CDM,Italy,22,AC Milan
L. Díaz,Luis Díaz,84,56000000,"LW,LM",RM,Colombia,25,Liverpool
Éder Militão,Éder Gabriel Militão,84,57500000,CB,CB,Brazil,24,Real Madrid CF
F. Valverde,Federico Valverde,84,66000000,"CM,RW",CM,Uruguay,23,Real Madrid CF
L. Sané,Leroy Sané,84,49500000,LM,LM,Germany,26,FC Bayern München
R. James,Reece James,84,57000000,"RWB,RB",RWB,England,22,Chelsea
A. Bastoni,Alessandro Bastoni,84,60500000,CB,CB,Italy,23,Inter
K. Havertz,Kai Havertz,84,84500000,"CAM,CF,ST",CAM,Germany,23,Chelsea
João Félix,João Félix Sequeira,84,68500000,"CF,ST",CAM,Portugal,22,Atlético de Madrid
A. Hakimi,Achraf Hakimi,84,53500000,"RB,RWB",RB,Morocco,23,Paris Saint-Germain
A. Davies,Alphonso Davies,84,60500000,"LB,LM",LM,Canada,21,FC Bayern München
D. Rice,Declan Rice,84,52000000,CDM,CDM,England,23,West Ham United
M. Mount,Mason Mount,84,57500000,"CAM,RW",CAM,England,23,Chelsea
J. Sancho,Jadon Sancho,84,61500000,"LW,RW,LM",CAM,England,22,Manchester United
F. Tomori,Fikayo Tomori,84,60500000,CB,CB,England,24,AC Milan
F. Kessié,Franck Yannick Kessié,84,47500000,"CDM,CM",CDM,Côte d'Ivoire,25,FC Barcelona
Oyarzabal,Mikel Oyarzabal Ugarte,84,53000000,"LW,RW",LW,Spain,25,Real Sociedad
L. Pellegrini,Lorenzo Pellegrini,84,55000000,"CAM,CM",CAM,Italy,26,Roma
W. Ndidi,Wilfred Ndidi,84,47500000,"CDM,CM",CB,Nigeria,25,Leicester City
Marcos Llorente,Marcos Llorente Moreno,84,48000000,"CM,RM,RB",CAM,Spain,27,Atlético de Madrid
M. Ødegaard,Martin Ødegaard,84,63500000,"CAM,CM",CAM,Norway,23,Arsenal
D. Vlahović,Dušan Vlahović,84,86500000,ST,ST,Serbia,22,Juventus
Diego Carlos,Diego Carlos Santos Silva,83,30500000,CB,CB,Brazil,29,Aston Villa
Angeliño,José Ángel Esmoris Tasende,83,42000000,"LWB,LM",LM,Spain,25,TSG Hoffenheim
O. Dembélé,Ousmane Dembélé,83,48000000,"RW,LW",LM,France,25,FC Barcelona
Marco Asensio,Marco Asensio Willemsen,83,43000000,RW,RW,Spain,26,Real Madrid CF
Rúben Neves,Rúben Diogo da Silva Neves,83,47500000,"CM,CDM",CM,Portugal,25,Wolverhampton Wanderers
Merino,Mikel Merino Zazón,83,47000000,CM,CM,Spain,26,Real Sociedad
K. Laimer,Konrad Laimer,83,38500000,"CDM,CM",CDM,Austria,25,RB Leipzig
P. Kimpembe,Presnel Kimpembe,83,42000000,CB,CB,France,26,Paris Saint-Germain
Fabián,Fabián Ruiz Peña,83,44500000,"CM,CDM",CM,Spain,26,Paris Saint-Germain
F. Mendy,Ferland Mendy,83,38000000,LB,LB,France,27,Real Madrid CF
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,35000000,"CAM,RM",RM,Brazil,30,Palmeiras
Gabriel Jesus,Gabriel Fernando de Jesus,83,48500000,"ST,RW",ST,Brazil,25,Arsenal
Unai Simón,Unai Simón Mendibil,83,37000000,GK,GK,Spain,25,Athletic Club de Bilbao
V. Osimhen,Victor Osimhen,83,58000000,ST,ST,Nigeria,23,Napoli
P. Højbjerg,Pierre-Emile Højbjerg,83,40500000,"CDM,CM",CDM,Denmark,26,Tottenham Hotspur
C. Romero,Cristian Romero,83,49500000,CB,CB,Argentina,24,Tottenham Hotspur
Raphinha,Raphael Dias Belloli,83,48000000,"RW,RM",LM,Brazil,25,FC Barcelona
Carlos Soler,Carlos Soler Barragán,83,53000000,"CM,RM,CDM",CM,Spain,25,Paris Saint-Germain
G. Kobel,Gregor Kobel,83,44000000,GK,GK,Switzerland,24,Borussia Dortmund
Pau Torres,Pau Francisco Torres,83,50500000,CB,CB,Spain,25,Villarreal CF
C. Gakpo,Cody Gakpo,83,52000000,LW,RM,Netherlands,23,PSV
R. Araujo,Ronald Araujo,83,52000000,"CB,RB",CB,Uruguay,23,FC Barcelona
R. Kent,Roy Kent,83,0,"CDM,CM",CDM,England,40,AFC Richmond
D. Zapata,Duván Zapata,83,30500000,ST,ST,Colombia,31,Atalanta
Á. Correa,Ángel Correa,83,42500000,"ST,RM,CF",CF,Argentina,27,Atlético de Madrid
J. Giménez,José María Giménez,83,38500000,CB,CB,Uruguay,27,Atlético de Madrid
T. Lemar,Thomas Lemar,83,47000000,"CM,LM,RM",CAM,France,26,Atlético de Madrid
Bremer,Gleison Bremer Silva Nascimento,83,45500000,CB,CB,Brazil,25,Juventus
J. Cuadrado,Juan Cuadrado,83,13500000,"RB,RM",RB,Colombia,34,Juventus
P. Zieliński,Piotr Zieliński,83,36500000,"CAM,CM",CAM,Poland,28,Napoli
Jesús Navas,Jesús Navas González,83,8000000,"RB,RM",RB,Spain,36,Sevilla FC
Piqué,Gerard Piqué Bernabeu,83,9500000,CB,CB,Spain,35,FC Barcelona
K. Schmeichel,Kasper Schmeichel,83,4000000,GK,GK,Denmark,35,OGC Nice
J. Henderson,Jordan Henderson,83,28500000,"CM,CDM",CM,England,32,Liverpool
Fernando,Fernando Reges Mouta,83,12500000,"CDM,CB",CDM,Brazil,34,Sevilla FC
L. Hrádecký,Lukáš Hrádecký,83,18000000,GK,GK,Finland,32,Bayer 04 Leverkusen
David Silva,David Josué Jiménez Silva,83,12000000,"CAM,CM",CAM,Spain,36,Real Sociedad
O. Baumann,Oliver Baumann,83,18000000,GK,GK,Germany,32,TSG Hoffenheim
A. Griezmann,Antoine Griezmann,83,30500000,"ST,CF,RW",CAM,France,31,Atlético de Madrid
Luis Alberto,Luis Alberto Romero Alconchel,83,35500000,CM,CM,Spain,29,Lazio
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,83,35500000,CF,CF,Brazil,30,Liverpool
J. Stones,John Stones,83,34500000,CB,CB,England,28,Manchester City
H. Ziyech,Hakim Ziyech,83,35500000,"RW,CAM",RW,Morocco,29,Chelsea
Koke,Jorge Resurrección,83,34500000,"CM,CDM",CM,Spain,30,Atlético de Madrid
Ricardo Pereira,Ricardo Barbosa Pereira,83,33000000,"RB,RWB",RB,Portugal,28,Leicester City
J. Maddison,James Maddison,82,38000000,"CAM,RM",CAM,England,25,Leicester City
G. Rulli,Gerónimo Rulli,82,20500000,GK,GK,Argentina,30,Villarreal CF
A. Kramarić,Andrej Kramarić,82,25500000,"CF,CAM",CF,Croatia,31,TSG Hoffenheim
Rafa,Rafael A. Ferreira Silva,82,30000000,"RW,RM,CF",RW,Portugal,29,SL Benfica
G. Di Lorenzo,Giovanni Di Lorenzo,82,27500000,RB,RB,Italy,28,Napoli
David Soria,David Soria Solís,82,21000000,GK,GK,Spain,29,Getafe CF
M. Locatelli,Manuel Locatelli,82,40000000,"CDM,CM",CM,Italy,24,Juventus
R. Gosens,Robin Gosens,82,29500000,"LWB,LM",LWB,Germany,27,Inter
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,82,41000000,"ST,LM,CF",ST,Portugal,25,Wolverhampton Wanderers
J. Tah,Jonathan Tah,82,33500000,CB,CB,Germany,26,Bayer 04 Leverkusen
A. Christensen,Andreas Christensen,82,37500000,CB,CB,Denmark,26,FC Barcelona
E. Can,Emre Can,82,30500000,"CM,CB,CDM",CB,Germany,28,Borussia Dortmund
Anderson Talisca,Anderson Souza Conceição,82,31000000,"CF,ST,CAM",CF,Brazil,28,Al Nassr
J. Brandt,Julian Brandt,82,40000000,"CAM,CM,RM",CAM,Germany,26,Borussia Dortmund
T. Werner,Timo Werner,82,38000000,"ST,LW",ST,Germany,26,RB Leipzig
Gayà,José Luís Gayà Peña,82,32000000,"LB,LM",LB,Spain,27,Valencia CF
Otávio,Otávio Edmilson da Silva Monteiro,82,32500000,"RM,LM",RM,Portugal,27,FC Porto
Grimaldo,Alejandro Grimaldo García,82,33000000,"LB,LWB,LM",LB,Spain,26,SL Benfica
R. Guerreiro,Raphaël Guerreiro,82,27500000,"LB,LM",CAM,Portugal,28,Borussia Dortmund
A. Onana,André Onana,82,30500000,GK,GK,Cameroon,26,Inter
M. Ginter,Matthias Ginter,82,29000000,CB,CB,Germany,28,Sport-Club Freiburg
S. Haller,Sébastien Haller,82,31000000,ST,ST,Côte d'Ivoire,28,Borussia Dortmund
Aritz Elustondo,Aritz Elustondo,82,29000000,"CB,RB",CB,Spain,28,Real Sociedad
T. Abraham,Tammy Abraham,82,42000000,ST,ST,England,24,Roma
I. Bennacer,Ismaël Bennacer,82,40000000,"CDM,CM",CM,Algeria,24,AC Milan
Álex Remiro,Alejandro Remiro Gargallo,82,28000000,GK,GK,Spain,27,Real Sociedad
D. Rojas,Dani Rojas,82,36500000,ST,ST,Mexico,26,AFC Richmond
F. Wirtz,Florian Wirtz,82,66000000,"CAM,CM",CAM,Germany,19,Bayer 04 Leverkusen
Antony,Antony Matheus dos Santos,82,49000000,"RW,RM",LM,Brazil,22,Manchester United
D. Núñez,Darwin Núñez,82,61500000,"ST,LW",ST,Uruguay,23,Liverpool
N. Schlotterbeck,Nico Schlotterbeck,82,44500000,CB,CB,Germany,22,Borussia Dortmund
B. Saka,Bukayo Saka,82,60500000,"RM,LM",LM,England,20,Arsenal
Dani Olmo,Daniel Olmo Carvajal,82,46000000,"CAM,CF",CAM,Spain,24,RB Leipzig
A. Tchouaméni,Aurélien Tchouaméni,82,61500000,"CM,CDM",CDM,France,22,Real Madrid CF
Ferran Torres,Ferran Torres García,82,49000000,"LW,ST",LW,Spain,22,FC Barcelona
N. Mazraoui,Noussair Mazraoui,82,40500000,RB,RM,Morocco,24,FC Bayern München
A. Danjuma,Arnaut Danjuma,82,36500000,"LM,ST",LM,Netherlands,25,Villarreal CF
A. Ramsdale,Aaron Ramsdale,82,34500000,GK,GK,England,24,Arsenal
Lucas Paquetá,Lucas Tolentino Coelho de Lima,82,46000000,"CAM,CM,CF",CAM,Brazil,24,West Ham United
D. Dumfries,Denzel Dumfries,82,34500000,"RWB,RM",RWB,Netherlands,26,Inter
R. Malinovskyi,Ruslan Malinovskyi,82,30500000,"CF,CAM",CF,Ukraine,29,Atalanta
R. Jiménez,Raúl Jiménez,82,25500000,ST,ST,Mexico,31,Wolverhampton Wanderers
Josué Chiamulera,Josué Durval Chiamulera Vaz,82,25000000,CB,CB,Brazil,30,Club Athletico Paranaense
Lucas Mantela,Lucas Luciano Mantela Patrício,82,27000000,GK,GK,Brazil,22,Palmeiras
B. Chilwell,Ben Chilwell,82,37000000,"LWB,LB",LWB,England,25,Chelsea
André Silva,André Miguel Valente da Silva,82,38000000,ST,ST,Portugal,26,RB Leipzig
C. Pulisic,Christian Pulisic,82,48000000,"LW,RW,LM",RM,United States,23,Chelsea
J. Pickford,Jordan Pickford,82,26000000,GK,GK,England,28,Everton
Sergi Darder,Sergi Darder Moll,82,30500000,"CM,CDM,CAM",CM,Spain,28,RCD Espanyol de Barcelona
W. Orban,Willi Orban,82,25500000,CB,CB,Hungary,29,RB Leipzig
I. Gueye,Idrissa Gueye,82,20500000,"CDM,CM",CDM,Senegal,32,Everton
Z. Ibrahimović,Zlatan Ibrahimović,82,0,ST,ST,Sweden,40,AC Milan
Iñigo Martínez,Iñigo Martínez Berridi,82,21000000,CB,CB,Spain,31,Athletic Club de Bilbao
Ł. Fabiański,Łukasz Fabiański,82,3400000,GK,GK,Poland,37,West Ham United
I. Rakitić,Ivan Rakitić,82,14000000,CM,CM,Croatia,34,Sevilla FC
D. Payet,Dimitri Payet,82,12500000,"CAM,LW,ST",CAM,France,35,Olympique de Marseille
Rui Patrício,Rui Pedro dos Santos Patrício,82,5000000,GK,GK,Portugal,34,Roma
O. Giroud,Olivier Giroud,82,13000000,ST,ST,France,35,AC Milan
S. Kjær,Simon Kjær,82,14500000,CB,CB,Denmark,33,AC Milan
Yuri Berchiche,Yuri Berchiche Izeta,82,21000000,LB,LB,Spain,32,Athletic Club de Bilbao
T. Alderweireld,Toby Alderweireld,82,14500000,CB,CB,Belgium,33,Royal Antwerp FC
M. Arnautović,Marko Arnautović,82,19500000,ST,ST,Austria,33,Bologna
Azpilicueta,César Azpilicueta Tanco,82,20000000,"CB,RWB,RB",CB,Spain,32,Chelsea
Coutinho,Philippe Coutinho Correia,82,29500000,"CAM,LW,CM",CAM,Brazil,30,Aston Villa
C. Eriksen,Christian Eriksen,82,29000000,"CM,CAM,CDM",CM,Denmark,30,Manchester United
Raúl Albiol,Raúl Albiol Tortajada,82,5500000,CB,CB,Spain,36,Villarreal CF
S. Coates,Sebastián Coates,82,21000000,CB,CB,Uruguay,31,Sporting CP
L. Digne,Lucas Digne,82,27500000,LB,LB,France,28,Aston Villa
Isco,Francisco Román Alarcón Suárez,82,29500000,"CAM,LW,CM",CAM,Spain,30,Sevilla FC
G. Kondogbia,Geoffrey Kondogbia,82,29500000,"CM,CDM,CB",CDM,Central African Republic,29,Atlético de Madrid
Gabriel Paulista,Gabriel Armando de Abreu,82,21000000,CB,CB,Brazil,31,Valencia CF
Nacho Fernández,José Ignacio Fernández Iglesias,82,20000000,"CB,LB",CB,Spain,32,Real Madrid CF
K. Volland,Kevin Volland,82,30500000,"ST,CF,CAM",ST,Germany,29,AS Monaco
L. Spinazzola,Leonardo Spinazzola,82,27000000,"LWB,LM",LWB,Italy,29,Roma
S. Berghuis,Steven Berghuis,82,29500000,"CAM,RW",CAM,Netherlands,30,Ajax
A. Lopes,Anthony Lopes,82,16000000,GK,GK,Portugal,31,Olympique Lyonnais
L. Muriel,Luis Muriel,82,25500000,ST,ST,Colombia,31,Atalanta
W. Zaha,Wilfried Zaha,82,30000000,"LW,CF",LW,Côte d'Ivoire,29,Crystal Palace
F. Acerbi,Francesco Acerbi,82,10000000,CB,CB,Italy,34,Inter
E. Ndicka,Evan Ndicka,81,34000000,CB,CB,France,22,Eintracht Frankfurt
T. Souček,Tomáš Souček,81,28000000,"CDM,CM",CB,Czech Republic,27,West Ham United
A. Barák,Antonín Barák,81,30000000,"CF,CM",CAM,Czech Republic,27,Fiorentina
M. Terrier,Martin Terrier,81,34000000,"LW,ST",ST,France,25,Stade Rennais FC
D. Raum,David Raum,81,34500000,"LWB,LM,LB",LWB,Germany,24,RB Leipzig
Y. Bissouma,Yves Bissouma,81,34500000,"CDM,CM",CDM,Mali,25,Tottenham Hotspur
A. Areola,Alphonse Areola,81,20000000,GK,GK,France,29,West Ham United
I. Sangaré,Ibrahim Sangaré,81,35500000,"CDM,CM",CDM,Côte d'Ivoire,24,PSV
J. Corona,Jesús Corona,81,25500000,"RW,LW",RW,Mexico,29,Sevilla FC
T. Delaney,Thomas Delaney,81,21500000,"CDM,CM",CDM,Denmark,30,Sevilla FC
A. Lacazette,Alexandre Lacazette,81,22000000,ST,ST,France,31,Olympique Lyonnais
N. Zaniolo,Nicolò Zaniolo,81,53000000,"CF,RW,RM",CAM,Italy,22,Roma
Neto,Norberto Murara Neto,81,13000000,GK,GK,Brazil,32,AFC Bournemouth
I. Konaté,Ibrahima Konaté,81,48000000,CB,CB,France,23,Liverpool
Pedro Porro,Pedro Antonio Porro Sauceda,81,38500000,"RWB,RM",RWB,Spain,22,Sporting CP
Cucurella,Marc Cucurella Saseta,81,34500000,"LB,CB,LM",LWB,Spain,23,Chelsea
L. Martínez,Lisandro Martínez,81,35000000,"CB,LB,CDM",CDM,Argentina,24,Manchester United
Matheus Cunha,Matheus Santos Carneiro Da Cunha,81,39500000,"ST,CAM,LM",CAM,Brazil,23,Atlético de Madrid
